"suburb","2012-12-31","2013-12-31","2014-12-31","2015-12-31","2016-12-31","2017-12-31","2018-12-31","2019-12-31","2020-12-31","2021-01-31","2021-02-28","2021-03-31","2021-04-30","2021-05-31","2021-06-30","2021-07-31","2021-08-31","2021-09-30","2021-10-31","2020-11-30","2021/2012","2021/2013","2021/2014","2021/2015","2021/2016","2021/2017","2021/2018","2021/2019","2021/2020","2021-10/2021-09","2021-10/2021-08","2021-10/2021-07","2021-10/2021-06","2021-10/2021-05","2021-10/2021-04","2021-10/2021-03","2021-10/2021-02","2021-10/2021-01","2021-09/2021-08","2021-09/2021-07","2021-09/2021-06","2021-09/2021-05","2021-09/2021-04","2021-09/2021-03","2021-09/2021-02","2021-09/2021-01","2021-08/2021-07","2021-08/2021-06","2021-08/2021-05","2021-08/2021-04","2021-08/2021-03","2021-08/2021-02","2021-08/2021-01","2021-07/2021-06","2021-07/2021-05","2021-07/2021-04","2021-07/2021-03","2021-07/2021-02","2021-07/2021-01","2021-06/2021-05","2021-06/2021-04","2021-06/2021-03","2021-06/2021-02","2021-06/2021-01","2021-05/2021-04","2021-05/2021-03","2021-05/2021-02","2021-05/2021-01","2021-04/2021-03","2021-04/2021-02","2021-04/2021-01","2021-03/2021-02","2021-03/2021-01","2021-02/2021-01"
greensborough,490000,534000,572000,632250,715000,830000,815000,795000,848250,850000,850000,866000,875000,899500,907000,923000,930000,936000,960000,835000,1.8433673469387755,1.6914794007490637,1.5791083916083917,1.4286279161724003,1.2632867132867134,1.0882530120481928,1.108282208588957,1.1361635220125785,1.0648393751842027,1.0256410256410255,1.032258064516129,1.0400866738894907,1.0584343991179714,1.0672595886603669,1.0971428571428572,1.1085450346420322,1.1294117647058823,1.1294117647058823,1.0064516129032257,1.0140845070422535,1.031973539140022,1.0405780989438578,1.0697142857142856,1.0808314087759816,1.1011764705882352,1.1011764705882352,1.0075839653304441,1.0253583241455346,1.0339077265147305,1.062857142857143,1.073903002309469,1.0941176470588236,1.0941176470588236,1.017640573318633,1.0261256253474151,1.054857142857143,1.0658198614318706,1.0858823529411765,1.0858823529411765,1.008337965536409,1.0365714285714285,1.0473441108545034,1.0670588235294118,1.0670588235294118,1.028,1.0386836027713626,1.0582352941176472,1.0582352941176472,1.010392609699769,1.0294117647058822,1.0294117647058822,1.0188235294117647,1.0188235294117647,1.0
heidelberg,750000,780000,828000,1055000,1140000,1298000,1107500,1073000,1259150,1180000,1265800,1290000,1300000,1312000,1314000,1320000,1325000,1322500,1335000,1269900,1.7506666666666666,1.6833333333333333,1.5857487922705313,1.2445497630331754,1.1517543859649122,1.0115562403697997,1.1855530474040632,1.2236719478098788,1.042766945955605,1.00945179584121,1.0075471698113208,1.0113636363636365,1.0159817351598173,1.017530487804878,1.0269230769230768,1.0348837209302326,1.0546689840417127,1.13135593220339,0.9981132075471698,1.0018939393939394,1.006468797564688,1.0080030487804879,1.0173076923076922,1.0251937984496124,1.0447938062885131,1.1207627118644068,1.003787878787879,1.008371385083714,1.009908536585366,1.0192307692307692,1.0271317829457365,1.0467688418391532,1.1228813559322033,1.004566210045662,1.0060975609756098,1.0153846153846153,1.0232558139534884,1.0428187707378733,1.11864406779661,1.0015243902439024,1.0107692307692309,1.0186046511627906,1.0380786854163375,1.1135593220338984,1.0092307692307692,1.0170542635658915,1.0364986569758257,1.111864406779661,1.0077519379844961,1.027018486332754,1.1016949152542372,1.0191183441301943,1.0932203389830508,1.0727118644067797
hoppers crossing,312500,320500,340000,365000,412000,520000,553000,530000,550900,551000,552500,559500,561500,563000,568444,570000,570000,575000,585000,550000,1.8103104,1.765123244929797,1.6638882352941176,1.5499232876712328,1.3731116504854368,1.087926923076923,1.023005424954792,1.0674,1.0269050644400073,1.017391304347826,1.0263157894736843,1.0263157894736843,1.0291251205043945,1.0390763765541742,1.0418521816562778,1.0455764075067024,1.0588235294117647,1.061705989110708,1.0087719298245614,1.0087719298245614,1.0115332381026099,1.0213143872113677,1.0240427426536065,1.0277033065236818,1.0407239819004526,1.043557168784029,1.0,1.0027372969017176,1.0124333925399644,1.0151380231522706,1.0187667560321716,1.0316742081447965,1.0344827586206897,1.0027372969017176,1.0124333925399644,1.0151380231522706,1.0187667560321716,1.0316742081447965,1.0344827586206897,1.0096696269982237,1.012366874443455,1.0159857015192135,1.0288579185520361,1.0316588021778585,1.0026714158504006,1.0062555853440571,1.0190045248868778,1.0217785843920144,1.003574620196604,1.016289592760181,1.0190562613430127,1.0126696832579185,1.015426497277677,1.0027223230490019
keilor,602500,560000,605000,680000,805000,850000,798000,835000,885000,890500,890500,937500,970000,943750,985500,985000,988000,988000,995000,867500,1.6224066390041494,1.7455357142857142,1.615702479338843,1.4375,1.2142857142857142,1.15,1.2249373433583959,1.1706586826347305,1.1045197740112995,1.007085020242915,1.007085020242915,1.0101522842639594,1.0096397767630645,1.0543046357615895,1.0257731958762886,1.0613333333333332,1.1173498034811904,1.1173498034811904,1.0,1.0030456852791878,1.0025367833587011,1.046887417218543,1.0185567010309278,1.0538666666666667,1.1094890510948905,1.1094890510948905,1.0030456852791878,1.0025367833587011,1.046887417218543,1.0185567010309278,1.0538666666666667,1.1094890510948905,1.1094890510948905,0.9994926433282597,1.043708609271523,1.0154639175257731,1.0506666666666666,1.1061201572150476,1.1061201572150476,1.0442384105960265,1.015979381443299,1.0512,1.106681639528355,1.106681639528355,0.9729381443298969,1.0066666666666666,1.0597978663672094,1.0597978663672094,1.0346666666666666,1.0892756878158338,1.0892756878158338,1.0527793374508703,1.0527793374508703,1.0
kew,1460000,1717500,1900000,2015000,2177000,2225000,2267500,2230000,2200000,2200000,2302000,2372500,2381250,2469400,2471000,2467150,2467150,2452750,2550000,2200000,1.6848972602739727,1.4322852983988354,1.2947105263157894,1.220818858560794,1.1299724391364263,1.1055955056179776,1.0848732083792723,1.103116591928251,1.1181590909090908,1.0396493731525838,1.0335812577265266,1.0335812577265266,1.0319708619991905,1.0326395075726897,1.0708661417322836,1.0748155953635405,1.107732406602954,1.1590909090909092,0.9941633058387208,0.9941633058387208,0.9926143261837312,0.9932574714505548,1.03002624671916,1.0338250790305585,1.0654865334491745,1.1148863636363637,1.0,0.998441926345609,0.9990888474933182,1.0360734908136482,1.0398946259220232,1.0717419635099914,1.1214318181818181,0.998441926345609,0.9990888474933182,1.0360734908136482,1.0398946259220232,1.0717419635099914,1.1214318181818181,1.0006479306714182,1.0376902887139108,1.0415173867228662,1.0734144222415292,1.1231818181818183,1.0370183727034121,1.0408429926238145,1.0727193744569938,1.1224545454545454,1.0036880927291887,1.0344265855777586,1.0823863636363635,1.0306255430060818,1.0784090909090909,1.0463636363636364
maribyrnong,615000,685500,747500,800000,911500,984000,995000,960000,913500,932500,935000,970000,925000,930000,970000,980000,980000,987500,999999,899500,1.5772357723577235,1.415025528811087,1.2976588628762542,1.2125,1.0641799232035107,0.9857723577235772,0.9748743718592965,1.0104166666666667,1.0618500273672689,1.0126572151898734,1.0204071428571428,1.0204071428571428,1.0309268041237114,1.075267741935484,1.08108,1.0309268041237114,1.0695176470588235,1.0723849865951742,1.0076530612244898,1.0076530612244898,1.018041237113402,1.0618279569892473,1.0675675675675675,1.018041237113402,1.0561497326203209,1.0589812332439679,1.0,1.0103092783505154,1.053763440860215,1.0594594594594595,1.0103092783505154,1.0481283422459893,1.0509383378016086,1.0103092783505154,1.053763440860215,1.0594594594594595,1.0103092783505154,1.0481283422459893,1.0509383378016086,1.043010752688172,1.0486486486486486,1.0,1.0374331550802138,1.0402144772117963,1.0054054054054054,0.9587628865979382,0.9946524064171123,0.9973190348525469,0.9536082474226805,0.9893048128342246,0.9919571045576407,1.0374331550802138,1.0402144772117963,1.002680965147453
mccrae,540000,530000,523334,577500,684750,775000,831000,797500,952500,992500,1100000,1135000,1150000,1155000,1155000,1200000,1200000,1222500,1222500,945000,2.138888888888889,2.1792452830188678,2.207003557957251,2.0,1.6867469879518073,1.4903225806451612,1.3898916967509025,1.4482758620689655,1.2125984251968505,1.0,1.01875,1.01875,1.0584415584415585,1.0584415584415585,1.0630434782608695,1.077092511013216,1.1113636363636363,1.2317380352644836,1.01875,1.01875,1.0584415584415585,1.0584415584415585,1.0630434782608695,1.077092511013216,1.1113636363636363,1.2317380352644836,1.0,1.0389610389610389,1.0389610389610389,1.0434782608695652,1.0572687224669604,1.0909090909090908,1.2090680100755669,1.0389610389610389,1.0389610389610389,1.0434782608695652,1.0572687224669604,1.0909090909090908,1.2090680100755669,1.0,1.0043478260869565,1.0176211453744493,1.05,1.163727959697733,1.0043478260869565,1.0176211453744493,1.05,1.163727959697733,1.013215859030837,1.0454545454545454,1.1586901763224182,1.0318181818181817,1.1435768261964736,1.1083123425692696
melbourne,748000,852000,560250,728636,-1,1420000,678500,340000,600000,600000,608888,608888,685364,761840,761840,761840,761840,761840,1490920,604444,1.0185026737967915,0.8941784037558685,1.3598215082552432,1.045570078887126,0,0.5365070422535211,1.1228297715549005,2.240705882352941,1.2697333333333334,1.9569988449018167,1.9569988449018167,1.9569988449018167,1.9569988449018167,1.9569988449018167,2.1753695846294816,2.4485948154668837,2.4485948154668837,2.4848666666666666,1.0,1.0,1.0,1.0,1.1115845010826364,1.251198906859718,1.251198906859718,1.2697333333333334,1.0,1.0,1.0,1.1115845010826364,1.251198906859718,1.251198906859718,1.2697333333333334,1.0,1.0,1.1115845010826364,1.251198906859718,1.251198906859718,1.2697333333333334,1.0,1.1115845010826364,1.251198906859718,1.251198906859718,1.2697333333333334,1.1115845010826364,1.251198906859718,1.251198906859718,1.2697333333333334,1.125599453429859,1.125599453429859,1.1422733333333333,1.0,1.0148133333333333,1.0148133333333333
mill park,405000,405000,430000,475000,555000,667000,645000,655250,690000,690000,690000,700000,710000,712500,715000,720000,720000,726500,745000,690000,1.7623456790123457,1.7623456790123457,1.6598837209302326,1.5026315789473683,1.2860360360360361,1.0700899550224887,1.1065891472868217,1.0892789011827546,1.0344202898550725,1.0254645560908466,1.0347222222222223,1.0347222222222223,1.0419580419580419,1.0456140350877192,1.0492957746478873,1.0642857142857143,1.0797101449275361,1.0797101449275361,1.0090277777777779,1.0090277777777779,1.0160839160839161,1.0196491228070175,1.0232394366197184,1.0378571428571428,1.0528985507246378,1.0528985507246378,1.0,1.006993006993007,1.0105263157894737,1.0140845070422535,1.0285714285714285,1.0434782608695652,1.0434782608695652,1.006993006993007,1.0105263157894737,1.0140845070422535,1.0285714285714285,1.0434782608695652,1.0434782608695652,1.0035087719298246,1.0070422535211268,1.0214285714285714,1.036231884057971,1.036231884057971,1.0035211267605635,1.0178571428571428,1.0326086956521738,1.0326086956521738,1.0142857142857142,1.0289855072463767,1.0289855072463767,1.0144927536231885,1.0144927536231885,1.0
preston,580000,639000,680000,778000,865000,990000,960500,935000,1026000,1025500,1050000,1060000,1100000,1100000,1110000,1150000,1150000,1161750,1185000,1047000,1.9051724137931034,1.729264475743349,1.625,1.4203084832904884,1.277456647398844,1.1161616161616161,1.1504424778761062,1.1818181818181819,1.0769980506822612,1.0200129115558425,1.0304347826086957,1.0304347826086957,1.0675675675675675,1.0772727272727274,1.0772727272727274,1.1179245283018868,1.1285714285714286,1.1555338859093125,1.0102173913043477,1.0102173913043477,1.0466216216216215,1.0561363636363637,1.0561363636363637,1.0959905660377358,1.1064285714285715,1.1328620185275475,1.0,1.0360360360360361,1.0454545454545454,1.0454545454545454,1.0849056603773586,1.0952380952380953,1.121404193076548,1.0360360360360361,1.0454545454545454,1.0454545454545454,1.0849056603773586,1.0952380952380953,1.121404193076548,1.009090909090909,1.009090909090909,1.0471698113207548,1.0571428571428572,1.082398829839103,1.0,1.0377358490566038,1.0476190476190477,1.0726474890297415,1.0377358490566038,1.0476190476190477,1.0726474890297415,1.0095238095238095,1.0336421257922965,1.023890784982935
reservoir,460000,500000,528500,600000,685000,811000,770000,750000,790000,792500,790000,808000,825000,840000,850000,850000,865500,885000,900000,782250,1.8369565217391304,1.69,1.598864711447493,1.4083333333333334,1.2335766423357664,1.0419235511713933,1.0974025974025974,1.1266666666666667,1.0696202531645569,1.0169491525423728,1.0398613518197575,1.0588235294117647,1.0588235294117647,1.0714285714285714,1.0909090909090908,1.113861386138614,1.139240506329114,1.135646687697161,1.022530329289428,1.0411764705882354,1.0411764705882354,1.0535714285714286,1.0727272727272728,1.0952970297029703,1.120253164556962,1.1167192429022081,1.0182352941176471,1.0182352941176471,1.0303571428571427,1.049090909090909,1.0711633663366336,1.0955696202531646,1.0921135646687696,1.0,1.0119047619047619,1.0303030303030303,1.051980198019802,1.0759493670886076,1.0725552050473186,1.0119047619047619,1.0303030303030303,1.051980198019802,1.0759493670886076,1.0725552050473186,1.018181818181818,1.0396039603960396,1.0632911392405062,1.0599369085173502,1.021039603960396,1.0443037974683544,1.0410094637223974,1.0227848101265822,1.019558359621451,0.9968454258675079
richmond,820500,890000,955000,1150000,1244825,1300000,1295000,1250000,1345000,1330000,1330000,1365000,1353500,1355000,1380000,1407500,1410000,1405000,1411000,1330000,1.6727605118829982,1.5421348314606742,1.4371727748691099,1.1934782608695653,1.1025646175165185,1.0557692307692308,1.0598455598455598,1.098,1.020446096654275,1.004270462633452,1.000709219858156,1.002486678507993,1.022463768115942,1.041328413284133,1.0424824528998893,1.0336996336996338,1.0609022556390977,1.0609022556390977,0.9964539007092199,0.9982238010657194,1.0181159420289856,1.03690036900369,1.0380495012929443,1.0293040293040292,1.056390977443609,1.056390977443609,1.0017761989342806,1.0217391304347827,1.040590405904059,1.041743627632065,1.032967032967033,1.0601503759398496,1.0601503759398496,1.019927536231884,1.0387453874538746,1.0398965644625047,1.031135531135531,1.0582706766917294,1.0582706766917294,1.018450184501845,1.0195788695973402,1.010989010989011,1.037593984962406,1.037593984962406,1.0011082379017362,0.9926739926739927,1.018796992481203,1.018796992481203,0.9915750915750916,1.0176691729323308,1.0176691729323308,1.0263157894736843,1.0263157894736843,1.0
ringwood,495000,544000,650000,760000,830250,917000,880000,806000,893000,893000,891000,900000,902500,905000,932000,950000,955000,960000,983000,880500,1.8555555555555556,1.6884191176470589,1.4130769230769231,1.2085526315789474,1.1062932851550737,1.0016357688113413,1.04375,1.1395781637717122,1.028555431131019,1.0239583333333333,1.0293193717277487,1.0347368421052632,1.0547210300429184,1.0861878453038674,1.089196675900277,1.0922222222222222,1.1032547699214366,1.100783874580067,1.0052356020942408,1.0105263157894737,1.0300429184549356,1.0607734806629834,1.0637119113573408,1.0666666666666667,1.0774410774410774,1.0750279955207167,1.0052631578947369,1.0246781115879828,1.0552486187845305,1.0581717451523547,1.0611111111111111,1.0718294051627384,1.0694288913773795,1.01931330472103,1.0497237569060773,1.0526315789473684,1.0555555555555556,1.0662177328843996,1.0638297872340425,1.0298342541436465,1.0326869806094183,1.0355555555555556,1.0460157126823793,1.0436730123180291,1.002770083102493,1.0055555555555555,1.015712682379349,1.0134378499440089,1.0027777777777778,1.0129068462401796,1.0106382978723405,1.0101010101010102,1.007838745800672,0.9977603583426652
roxburgh park,355000,365000,378500,395000,435000,510000,548000,541000,570000,570000,570000,570000,585000,595000,600000,605200,609000,609500,615000,570000,1.6830985915492958,1.6369863013698631,1.5785997357992074,1.5126582278481013,1.3735632183908046,1.1715686274509804,1.0903284671532847,1.1044362292051757,1.0482456140350878,1.0090237899917966,1.0098522167487685,1.0161929940515533,1.025,1.0336134453781514,1.0512820512820513,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0008210180623973,1.007105089226702,1.0158333333333334,1.0243697478991596,1.041880341880342,1.0692982456140352,1.0692982456140352,1.0692982456140352,1.0062789160608063,1.015,1.0235294117647058,1.041025641025641,1.068421052631579,1.068421052631579,1.068421052631579,1.0086666666666666,1.0171428571428571,1.0345299145299145,1.0617543859649123,1.0617543859649123,1.0617543859649123,1.0084033613445378,1.0256410256410255,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.017094017094017,1.043859649122807,1.043859649122807,1.043859649122807,1.0263157894736843,1.0263157894736843,1.0263157894736843,1.0,1.0,1.0
st kilda,860500,890501,1175002,1110000,1250000,1575000,1700000,1427000,1311500,1311500,1330000,1376000,1400250,1485250,1550500,1605000,1582500,1610000,1582500,1330000,1.7639453805926786,1.7045180185086821,1.2918063118190437,1.367454954954955,1.2143,0.9637301587301588,0.8928676470588235,1.0636825508058865,1.157357987037743,0.9829192546583851,1.0,0.985981308411215,1.020638503708481,1.0654771923918531,1.1301553294054634,1.1500726744186047,1.1898496240601504,1.2066336256195196,1.0173775671406002,1.0031152647975077,1.0383747178329572,1.083992593839421,1.149794679521514,1.1700581395348837,1.2105263157894737,1.2276019824628288,0.985981308411215,1.020638503708481,1.0654771923918531,1.1301553294054634,1.1500726744186047,1.1898496240601504,1.2066336256195196,1.035149951628507,1.0806261572125904,1.146223888591323,1.166424418604651,1.2067669172932332,1.2237895539458634,1.043931997980138,1.1073022674522406,1.1268168604651163,1.1657894736842105,1.1822340831109417,1.0607034458132476,1.0793968023255813,1.1167293233082707,1.1324818909645444,1.017623546511628,1.0528195488721805,1.0676706061761343,1.0345864661654136,1.0491803278688525,1.0141059855127716
sunshine,400000,435000,474000,522000,663500,760000,710000,710000,753000,755500,750500,750000,755000,824000,821000,840000,840000,843000,862000,760000,2.05625,1.8908045977011494,1.7352320675105486,1.5756704980842913,1.239638281838734,1.082236842105263,1.158450704225352,1.158450704225352,1.092297476759628,1.0225385527876631,1.026190476190476,1.026190476190476,1.0499390986601704,1.046116504854369,1.1417218543046357,1.1493333333333333,1.1485676215856095,1.1409662475181999,1.0035714285714286,1.0035714285714286,1.0267965895249695,1.0230582524271845,1.1165562913907285,1.124,1.123251165889407,1.1158173395102582,1.0,1.0231425091352009,1.0194174757281553,1.1125827814569536,1.12,1.1192538307794804,1.1118464592984778,1.0231425091352009,1.0194174757281553,1.1125827814569536,1.12,1.1192538307794804,1.1118464592984778,0.9963592233009708,1.0874172185430464,1.0946666666666667,1.0939373750832777,1.0866975512905361,1.0913907284768212,1.0986666666666667,1.0979347101932044,1.0906684315023163,1.0066666666666666,1.00599600266489,0.99933818663137,0.9993337774816788,0.9927200529450695,0.9933818663136995
surrey hills,1100000,1332500,1450000,1750150,1780000,2133000,1888000,1931000,1880000,1880000,1880000,1942500,1955000,1966000,2050000,2075500,2100000,2100000,2152500,1880000,1.8254545454545454,1.5069418386491558,1.3848275862068966,1.1473302288375282,1.1280898876404495,0.9413970932958274,1.0635593220338984,1.039875712066287,1.0680851063829788,1.025,1.025,1.0370994940978078,1.05,1.0948626653102747,1.1010230179028133,1.1081081081081081,1.1449468085106382,1.1449468085106382,1.0,1.0118043844856661,1.024390243902439,1.0681586978636826,1.0741687979539642,1.0810810810810811,1.1170212765957446,1.1170212765957446,1.0118043844856661,1.024390243902439,1.0681586978636826,1.0741687979539642,1.0810810810810811,1.1170212765957446,1.1170212765957446,1.012439024390244,1.0556968463886063,1.0616368286445013,1.0684684684684684,1.1039893617021277,1.1039893617021277,1.0427263479145472,1.0485933503836318,1.0553410553410554,1.0904255319148937,1.0904255319148937,1.005626598465473,1.0120978120978121,1.0457446808510638,1.0457446808510638,1.0064350064350065,1.0398936170212767,1.0398936170212767,1.0332446808510638,1.0332446808510638,1.0
toorak,2625625,2927500,3300000,3875000,4850500,5000000,4250000,4364500,4950000,4900000,5100000,5750000,5750000,5725000,5500000,5500000,5712500,5500000,5100000,5000000,2.0947393477743392,1.878736122971819,1.6666666666666667,1.4193548387096775,1.133903721265849,1.1,1.2941176470588236,1.2601672585634094,1.1111111111111112,0.9272727272727272,0.8927789934354485,0.9272727272727272,0.9272727272727272,0.8908296943231441,0.8869565217391304,0.8869565217391304,1.0,1.0408163265306123,0.962800875273523,1.0,1.0,0.9606986899563319,0.9565217391304348,0.9565217391304348,1.0784313725490196,1.1224489795918366,1.0386363636363636,1.0386363636363636,0.9978165938864629,0.9934782608695653,0.9934782608695653,1.1200980392156863,1.1658163265306123,1.0,0.9606986899563319,0.9565217391304348,0.9565217391304348,1.0784313725490196,1.1224489795918366,0.9606986899563319,0.9565217391304348,0.9565217391304348,1.0784313725490196,1.1224489795918366,0.9956521739130435,0.9956521739130435,1.1225490196078431,1.1683673469387754,1.0,1.1274509803921569,1.1734693877551021,1.1274509803921569,1.1734693877551021,1.0408163265306123
werribee,300000,303000,307500,321000,375000,465000,501888,505000,519000,520000,525000,530000,530000,540000,540000,543751,545000,550000,560000,512944,1.8,1.7821782178217822,1.7560975609756098,1.6822429906542056,1.44,1.1612903225806452,1.0759372609028308,1.0693069306930694,1.0404624277456647,1.018181818181818,1.0275229357798166,1.0298831634332626,1.037037037037037,1.037037037037037,1.0566037735849056,1.0566037735849056,1.0666666666666667,1.0769230769230769,1.0091743119266054,1.0114923926576687,1.0185185185185186,1.0185185185185186,1.0377358490566038,1.0377358490566038,1.0476190476190477,1.0576923076923077,1.0022970072698716,1.0092592592592593,1.0092592592592593,1.028301886792453,1.028301886792453,1.0380952380952382,1.0480769230769231,1.0069462962962963,1.0069462962962963,1.025945283018868,1.025945283018868,1.0357161904761905,1.045675,1.0,1.0188679245283019,1.0188679245283019,1.0285714285714285,1.0384615384615385,1.0188679245283019,1.0188679245283019,1.0285714285714285,1.0384615384615385,1.0,1.0095238095238095,1.0192307692307692,1.0095238095238095,1.0192307692307692,1.0096153846153846
williamstown,890000,950000,987000,1120000,1275000,1500000,1452500,1350000,1385000,1400000,1405000,1420000,1480500,1475000,1540000,1550000,1560000,1570000,1585000,1400000,1.6969101123595505,1.5897368421052631,1.5301418439716312,1.3484375,1.1845098039215687,1.0068333333333332,1.0397590361445783,1.1187037037037038,1.0904332129963898,1.0095541401273886,1.016025641025641,1.0225806451612902,1.0292207792207793,1.0745762711864406,1.0705842620736237,1.1161971830985915,1.1281138790035588,1.1321428571428571,1.0064102564102564,1.0129032258064516,1.0194805194805194,1.064406779661017,1.0604525498142519,1.1056338028169015,1.1174377224199288,1.1214285714285714,1.0064516129032257,1.0129870129870129,1.0576271186440678,1.0536980749746707,1.0985915492957747,1.1103202846975089,1.1142857142857143,1.0064935064935066,1.0508474576271187,1.0469436001350896,1.091549295774648,1.103202846975089,1.1071428571428572,1.0440677966101695,1.0401891252955082,1.0845070422535212,1.096085409252669,1.1,0.9962850388382303,1.0387323943661972,1.0498220640569396,1.0535714285714286,1.042605633802817,1.0537366548042704,1.0575,1.01067615658363,1.0142857142857142,1.0035714285714286
